Index, Type, Type(name), PhysicalStart, NumberOfPages, Attribute
0, 3, EfiBootServicesCode, 00000000, 1, F
1, 7, EfiConventionalMemory, 00001000, 9F, F
2, 7, EfiConventionalMemory, 00100000, 700, F
3, A, EfiACPIMemoryNVS, 00800000, 8, F
4, 7, EfiConventionalMemory, 00808000, 8, F
5, A, EfiACPIMemoryNVS, 00810000, F0, F
6, 4, EfiBootServicesData, 00900000, C00, F
7, 7, EfiConventionalMemory, 01500000, 3AA36, F
8, 4, EfiBootServicesData, 3BF36000, 20, F
9, 7, EfiConventionalMemory, 3BF56000, 2513, F
10, 1, EfiLoaderCode, 3E469000, 4, F
11, 7, EfiConventionalMemory, 3E46D000, 4, F
12, 4, EfiBootServicesData, 3E471000, 6E4, F
13, 7, EfiConventionalMemory, 3EB55000, 3, F
14, 4, EfiBootServicesData, 3EB58000, 6, F
15, 7, EfiConventionalMemory, 3EB5E000, 1, F
16, 4, EfiBootServicesData, 3EB5F000, C, F
17, 3, EfiBootServicesCode, 3EB6B000, B7, F
18, 4, EfiBootServicesData, 3EC22000, 8B, F
19, 3, EfiBootServicesCode, 3ECAD000, 6E, F
20, 4, EfiBootServicesData, 3ED1B000, 4, F
21, 3, EfiBootServicesCode, 3ED1F000, 20, F
22, 4, EfiBootServicesData, 3ED3F000, 5, F
23, 3, EfiBootServicesCode, 3ED44000, 18, F
24, 4, EfiBootServicesData, 3ED5C000, 1, F
25, 3, EfiBootServicesCode, 3ED5D000, 13, F
26, 4, EfiBootServicesData, 3ED70000, 4, F
27, 3, EfiBootServicesCode, 3ED74000, 27, F
28, 4, EfiBootServicesData, 3ED9B000, 3, F
29, 3, EfiBootServicesCode, 3ED9E000, 1C, F
30, 4, EfiBootServicesData, 3EDBA000, 9, F
31, 3, EfiBootServicesCode, 3EDC3000, B, F
32, 4, EfiBootServicesData, 3EDCE000, 2, F
33, 3, EfiBootServicesCode, 3EDD0000, 13, F
34, 4, EfiBootServicesData, 3EDE3000, 2, F
35, 3, EfiBootServicesCode, 3EDE5000, C, F
36, 4, EfiBootServicesData, 3EDF1000, 4, F
37, 3, EfiBootServicesCode, 3EDF5000, B, F
38, 4, EfiBootServicesData, 3EE00000, 202, F
39, 3, EfiBootServicesCode, 3F002000, 8, F
40, 4, EfiBootServicesData, 3F00A000, 2, F
41, 3, EfiBootServicesCode, 3F00C000, 3, F
42, 4, EfiBootServicesData, 3F00F000, 3, F
43, 3, EfiBootServicesCode, 3F012000, D, F
44, 4, EfiBootServicesData, 3F01F000, 7, F
45, 3, EfiBootServicesCode, 3F026000, 4E, F
46, 4, EfiBootServicesData, 3F074000, 1, F
47, 3, EfiBootServicesCode, 3F075000, 5, F
48, 4, EfiBootServicesData, 3F07A000, 5, F
49, 3, EfiBootServicesCode, 3F07F000, 2E, F
50, 4, EfiBootServicesData, 3F0AD000, A, F
51, 3, EfiBootServicesCode, 3F0B7000, 18, F
52, 4, EfiBootServicesData, 3F0CF000, 7, F
53, 3, EfiBootServicesCode, 3F0D6000, F, F
54, 4, EfiBootServicesData, 3F0E5000, 1, F
55, 3, EfiBootServicesCode, 3F0E6000, 2F, F
56, 4, EfiBootServicesData, 3F115000, 8, F
57, 3, EfiBootServicesCode, 3F11D000, 9, F
58, 4, EfiBootServicesData, 3F126000, 4, F
59, 3, EfiBootServicesCode, 3F12A000, 21, F
60, 4, EfiBootServicesData, 3F14B000, 8, F
61, 3, EfiBootServicesCode, 3F153000, 1E, F
62, 4, EfiBootServicesData, 3F171000, F, F
63, 3, EfiBootServicesCode, 3F180000, 10, F
64, 4, EfiBootServicesData, 3F190000, 2, F
65, 3, EfiBootServicesCode, 3F192000, 3, F
66, 4, EfiBootServicesData, 3F195000, 5, F
67, 3, EfiBootServicesCode, 3F19A000, 6, F
68, 4, EfiBootServicesData, 3F1A0000, 400, F
69, 3, EfiBootServicesCode, 3F5A0000, 6, F
70, 4, EfiBootServicesData, 3F5A6000, 1, F
71, 3, EfiBootServicesCode, 3F5A7000, 1A, F
72, 4, EfiBootServicesData, 3F5C1000, 32E, F
73, 6, EfiRuntimeServicesData, 3F8EF000, 100, F
74, 5, EfiRuntimeServicesCode, 3F9EF000, 100, F
75, 0, EfiReservedMemoryType, 3FAEF000, 80, F
76, 9, EfiACPIReclaimMemory, 3FB6F000, 10, F
77, A, EfiACPIMemoryNVS, 3FB7F000, 80, F
78, 4, EfiBootServicesData, 3FBFF000, 201, F
79, 7, EfiConventionalMemory, 3FE00000, 8B, F
80, 4, EfiBootServicesData, 3FE8B000, 20, F
81, 3, EfiBootServicesCode, 3FEAB000, 21, F
82, 4, EfiBootServicesData, 3FECC000, 9, F
83, 3, EfiBootServicesCode, 3FED5000, 1F, F
84, 6, EfiRuntimeServicesData, 3FEF4000, 84, F
85, A, EfiACPIMemoryNVS, 3FF78000, 88, F
86, B, EfiMemoryMappedIO, FFC00000, 400, 1
